analysis,metric,estimate,se,tolerance_estimate,tolerance_se,source,n_subjects,n_visits,bootstrap_reps,data_seed,bootstrap_seed,notes
survival_death_msm,po_a1,-3.1993864072379,0.145541364779158,0.18,0.12,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,po_a0,-2.46556245094083,0.0885807448447914,0.16,0.12,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,out_a1,0.145643886638363,0.0202359668203459,0.055,0.055,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,out_a0,0.291391767250245,0.0231836496860669,0.06,0.055,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,death_a1,0.172939349111263,0.0211538813912946,0.055,0.055,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,death_a0,0.148170446064223,0.0183264060275582,0.055,0.055,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,out_diff_a1_a0,-0.145747880611882,0.0299227161724447,0.075,0.07,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,death_diff_a1_a0,0.0247689030470404,0.0276609862968515,0.075,0.07,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,msm_a,-0.780970239489748,0.175089215094586,0.4,0.24,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
survival_death_msm,msm_cons,-2.37677381281735,0.0967225133384796,0.28,0.16,python_statsmodels_plugin_subject_bootstrap,720,4,220,20260517,20260518,visit-specific GLM Binomial nuisance models; deterministic plug-in intervention summaries
