"names","estimate","robust_se","2.5%","97.5%","z","p_value"
"(Intercept)",-3.20294408203286,0.91846289786953,-5.00313136185714,-1.40275680220859,-3.48728739011932,0.000487946713947585
"assigned_treatment",-0.428114701251763,0.413444963305058,-1.23846682932968,0.38223742682615,-1.03548171884702,0.300443999589889
"splines::ns(trial_period, df = 3)1",0.0559164588809251,0.636282822757629,-1.19119787372403,1.30303079148588,0.0878798812116049,0.92997214719613
"splines::ns(trial_period, df = 3)2",1.35523367135777,1.38982840244932,-1.36882999744289,4.07929734015843,0.975108631374506,0.329506377584354
"splines::ns(trial_period, df = 3)3",0.867448348119372,0.665807591777602,-0.437534531764727,2.17243122800347,1.30285139255235,0.192625501294275
"splines::ns(followup_time, df = 3)1",0.149525509003639,0.604039822800304,-1.03439254368496,1.33344356169224,0.247542468823405,0.804488428560539
"splines::ns(followup_time, df = 3)2",0.310886928085138,1.11437524369246,-1.87328854955209,2.49506240572237,0.278978674234559,0.780261190782556
"splines::ns(followup_time, df = 3)3",-0.481657447305816,2.15327900124833,-4.70208428975254,3.73876939514091,-0.223685573038414,0.82300197257225
"catvarA",0.0485749041671208,0.0460845689507993,-0.0417508509764459,0.138900659310687,1.05403837494889,0.291865348145926
"catvarB",-0.111700207460883,0.0459924740993056,-0.201845456695522,-0.0215549582262438,-2.42866272468193,0.0151546227872721
"nvarA",-0.0247351673823913,0.0543321808790538,-0.131226241905337,0.0817559071405542,-0.455258135826593,0.648923540535293
"nvarB",0.00359971981133038,0.00244043723457201,-0.00118353716843076,0.00838297679109152,1.47503068726194,0.14020429335675
"nvarC",-0.0458571686287428,0.0089431305117235,-0.0633857044317209,-0.0283286328257647,-5.12764166514498,2.93394194494923e-07
