"names","estimate","robust_se","2.5%","97.5%","z","p_value"
"(Intercept)",-2.96624309368655,0.868213579445108,-4.66794170939896,-1.26454447797414,-3.41649009404153,0.000634339716133914
"assigned_treatment",-0.414264093470067,0.415158494590317,-1.22797474286709,0.399446555926954,-0.997845639359656,0.318354215323493
"trial_period",-0.000807286234262292,0.0051284891026361,-0.0108591248754291,0.00924455240690447,-0.157412098983956,0.874920078717818
"I(trial_period^2)",7.58765410256539e-06,1.13884717260926e-05,-1.47337504805761e-05,2.99090586857068e-05,0.666257447448459,0.5052465592792
"followup_time",0.00674576504138291,0.00547898760547569,-0.00399305066534944,0.0174845807481153,1.23120647957685,0.218245648601363
"I(followup_time^2)",-4.73880332526991e-05,4.70758675932564e-05,-0.000139656733735482,4.48806672300834e-05,-1.00663111856248,0.314112074531355
"catvarA",0.0457215618451661,0.0478882996806517,-0.0481395055289112,0.139582629219243,0.954754337699716,0.339701943929978
"catvarB",-0.0867636952318169,0.0420859986859896,-0.169252252656356,-0.0042751378072773,-2.06158099940018,0.0392476445405474
"nvarA",-0.0232547025009063,0.0547170897274164,-0.130500198366642,0.0839907933648299,-0.424998891877364,0.670837482543912
"nvarB",0.00342388971695844,0.00246444797662043,-0.00140642831721759,0.00825420775113448,1.38931304269353,0.164737579520264
"nvarC",-0.0453700925942589,0.00915106988316307,-0.0633061895652585,-0.0274339956232593,-4.95790035192876,7.12590937590463e-07
