source,dgp,weight_mean,coef,se,metric
stata_msm,DGP1,.9972926027177235,-.2101907923870713,.1068573264031688,log-OR
R_manual,DGP1,.997597035890068,-.2149984687566757,.1064125522971153,log-OR
Python,DGP1,.9975970387458801,-.2149984687566757,.1064223870635033,log-OR
stata_iptw,DGP2,.9988539244458984,1.99447819515748,.0993234712968718,ATE
teffects,DGP2,,1.994478168946878,.0791520547461904,ATE
R_iptw,DGP2,.998853926897622,1.994478225708008,.0993069112300873,ATE
Python_iptw,DGP2,.9988539218902588,1.994478225708008,.0993234738707542,ATE
true_cf,DGP3,,.2379906463918673,,log-OR
