id,period,stata_weight
1,0,1.26989626307553
1,1,1.330382089545534
1,2,1.360503459394274
1,3,1.292325702611262
1,4,1.450057654471412
1,5,1.764686863571944
1,6,1.681644412057856
1,7,1.830923408011827
2,0,1.290126967336648
2,1,1.055272772387822
2,2,1.094301941450687
2,3,1.137533053216108
2,4,1.040574402282374
2,5,.8967462199989729
2,6,.7720341198108408
2,7,.6587838863637309
3,0,1.130072603986001
3,1,1.267442095688274
3,2,1.388637365792306
3,3,1.642350951794188
3,4,1.335627244227371
3,5,1.183283343819776
3,6,1.034162569356029
3,7,1.194906840330921
4,0,1.287615904561404
4,1,1.129659849293343
4,2,1.029486665365888
4,3,.89746269750314
4,4,.9203872158818163
4,5,1.036529358686188
4,6,.8906742233731496
4,7,.8442583721190278
5,0,.9549718395433996
5,1,1.076838192074622
5,2,1.227472687737204
5,3,1.228713596707567
5,4,.8166749457621107
5,5,.8317618755560604
5,6,.7039704279909587
5,7,1.076385380101979
6,0,1.173253097580959
6,1,.9544669931937091
6,2,.942621036014708
6,3,.8326016401551
6,4,.7459895291114576
6,5,.6754554528214187
6,6,.8763445602917806
6,7,.8160492859861195
7,0,.5940163971167185
7,1,.5702941651238019
7,2,.4890857777980128
7,3,.5609613371466113
7,4,.4478386008300839
7,5,.4227900965523316
7,6,.4163196112277945
7,7,.421386745610196
8,0,.716362766673466
8,1,.5728193738065913
8,2,.404543985415171
8,3,.4875884748840509
8,4,.4947748667928324
8,5,.5060456758861064
8,6,.4856738913338265
8,7,.5141536925419461
9,0,1.079378422152592
9,1,1.13250916113102
9,2,1.13250916113102
9,3,1.13250916113102
9,4,1.13250916113102
9,5,1.13250916113102
9,6,1.13250916113102
9,7,1.13250916113102
10,0,.7373984226182186
10,1,.7074594812573747
10,2,.7074594812573747
10,3,.7074594812573747
10,4,.7074594812573747
10,5,.7074594812573747
10,6,.7074594812573747
10,7,.7074594812573747
11,0,1.318809858187697
11,1,.9917292058006114
11,2,.9314550001062779
11,3,.8895370296901305
11,4,1.015791044060589
11,5,.9728655724097326
11,6,.9415538146492105
11,7,1.020789247454312
12,0,1.707253207018279
12,1,2.113923000003048
12,2,2.466979283496574
12,3,2.20341230421688
12,4,2.159555843308939
12,5,2.255052011031446
12,6,2.337452530243981
12,7,2.559596705393253
13,0,1.527168594881436
13,1,2.185472405476478
13,2,1.843182383659448
13,3,1.909934531368075
13,4,1.822381985084887
13,5,2.14748118350438
13,6,3.090483057147822
13,7,2.725678237816675
14,0,1.213891075923098
14,1,.9493381450697439
14,2,.9603399770958483
14,3,.8618054019438979
14,4,.7768850422474353
14,5,.5945973747364731
14,6,.4247773220643282
14,7,.4247773220643282
15,0,1.083761159257019
15,1,1.126643669213699
15,2,1.084428979739805
15,3,1.046656784406131
15,4,1.068943532509779
15,5,1.14198981232306
15,6,.9148492503636116
15,7,.8026644643461064
16,0,1.094171119525098
16,1,1.318842244604753
16,2,1.344411844573474
16,3,1.296173083024199
16,4,1.370039804020116
16,5,1.39852283599619
16,6,1.775783834829033
16,7,1.343896242886244
17,0,1.582780714157293
17,1,.9559434976863097
17,2,1.089100105972816
17,3,.749594638251143
17,4,.6043025911997731
17,5,.4558413559445115
17,6,.5568362599211306
17,7,.7157229007948666
18,0,.8529690250995532
